date,amount,cost_per_gram
2024-03-26T13:11:17.452,0.08,22.2,e3facde7-dbca-4296-912f-0a797e0ad7c9
2024-03-26T13:44:04.513,0.08,22.2,bd618f3a-11a1-4a5b-9fa3-940f4c4a05a2
2024-03-26T14:17:35.516,0.08,22.2,d04ec26d-340b-4b97-bc3e-336ec3671368
2024-03-26T14:36:19.508,0.08,22.2,4c929396-f4c9-4cf0-89f7-63b37d7b1c61
2024-03-26T16:40:14.228,0.08,22.2,75c56f3c-56b8-47bb-9933-d1b00a8e6eb3
2024-03-26T17:13:44.427,0.08,22.2,82477fee-08c2-4485-8c0e-4fd78291c386
2024-03-26T18:49:42.679,0.08,22.2,a97532ae-51fe-4b92-9f8f-394c883d9140
2024-03-26T19:25:41.033,0.08,22.2,7f9a4a3c-2a25-4304-8888-60a27c2d00a8
2024-03-26T19:49:47.026,0.08,22.2,d0bc7c19-d238-40ba-8af8-c649b7693d8e
2024-03-26T21:23:40.755,0.08,22.2,7d15917f-5bdf-4db7-9d10-e9b32810dcf8
2024-03-26T21:52:21.139,0.08,22.2,d3fef090-b6e6-4d1e-8385-8649a1304543
2024-03-26T22:55:01.178,0.08,22.2,39db6813-1153-4f7a-9374-a1a9d3aeb3ea
2024-03-26T23:31:00,0.08,22.2,7fa49102-d9bc-4094-8b98-4ccfda8ceabf
2024-03-27T09:37:35.28,0.08,22.2,a4b03eb3-7487-465e-9a0a-4c8254ba5eaa
2024-03-27T11:57:23.287,0.08,22.2,67ca9c2b-426d-4777-9131-37f430f1fd7d
2024-03-27T12:28:00,0.08,22.2,d2333a17-ca83-457f-911b-b27fdca3cdb3
2024-03-27T13:00:35.948,0.08,22.2,590fd1d1-bb38-4321-93ca-f7a8eb00e3e8
2024-03-27T14:49:06.189,0.08,22.2,fced96d3-e361-4264-b88f-d902fd66db76
2024-03-27T15:27:38.894,0.08,22.2,04713fbc-4711-422c-af09-6ad76fbd737c
2024-03-27T15:45:51.42,0.08,22.2,4a1dfd24-843c-4a71-b6f9-0beeaf0a05f8
2024-03-27T16:02:06.328,0.08,22.2,071c2ca2-6132-4ec9-b516-85c91f2ae273
2024-03-27T16:31:40.86,0.08,22.2,ebf652be-d42a-486b-94b0-dd6811eb38af
2024-03-27T19:33:25.889,0.08,22.2,20acf2fe-32d3-49d6-9fde-c95974309045
2024-03-27T19:49:28.649,0.08,22.2,039a52e5-fb0e-49d1-a38e-65b865790589
2024-03-27T20:19:01.184,0.08,22.2,731fcba7-7d34-4376-bf52-197727b0d6ff
2024-03-27T21:51:27.36,0.08,22.2,8b876d92-0501-453a-a7c2-edb4a8a047f1
2024-03-27T22:32:08.791,0.08,22.2,0d2fe77a-15bc-4962-b289-c8db7d168eaf
2024-03-27T22:56:48.998,0.08,22.2,45ee6ac2-bf05-4095-9967-0de3fa67be3d
2024-03-28T08:51:30.178,0.08,22.2,f3c5cbad-3af9-4a64-9c48-c88426210d66
2024-03-28T10:11:15.243,0.08,22.2,51304706-d079-4be0-a964-840cca71276e
2024-03-28T11:40:29.448,0.08,22.2,671af2f3-9cbd-46c7-8fc6-c5dcdfd06a3a
2024-03-28T12:13:29.016,0.08,22.2,53c415ff-e40c-4bfc-8d7d-2f2af8377ce2
2024-03-28T12:33:16.211,0.08,22.2,5eb3c875-28a0-4b29-8c72-ce70eec1d4e2
2024-03-28T12:49:19.114,0.08,22.2,da7e1fef-c7a8-4c1e-926a-ad6f7824f015
2024-03-28T14:43:37.23,0.08,22.2,684cc11b-830c-4ace-a0c4-8bf2174beb1b
2024-03-28T15:18:31.464,0.08,22.2,e6da8538-8690-4c9b-988b-fc3d8359f64e
2024-03-28T15:39:57.7,0.08,22.2,89673cd0-dafc-45ff-8984-20fe4cb0ba73
2024-03-28T17:14:19.794,0.08,22.2,d28ad4df-f659-4c27-8578-6518136b6596
2024-03-28T17:54:37.61,0.08,22.2,84b1f843-2c0c-4b81-87d0-a9738f29d9e0
2024-03-28T18:35:07.21,0.08,22.2,d898fb41-307d-44ef-a676-abbbfa449817
2024-03-28T20:30:39.314,0.08,22.2,b4828984-bbe0-40d9-aa93-629dd13bd58f
2024-03-28T20:49:16.367,0.08,22.2,282036e4-629c-4d14-9db0-e9671583dcac
2024-03-28T22:10:00,0.08,22.2,d83842f8-351f-4eda-94a8-987bf4266e94
2024-03-28T23:06:00,0.08,22.2,5933149b-0b31-4f13-b61b-13d3c5bbc3ae
2024-03-29T11:08:26.865,0.08,22.2,83f09415-625b-4b7e-8060-5aa37f84cb64
2024-03-29T11:27:59.057,0.08,22.2,f4205517-e980-44ce-830d-cdd54cea1a30
2024-03-29T12:34:40.881,0.08,22.2,afacfc58-b92f-4765-bd5f-f35446893768
2024-03-29T12:50:47.9,0.08,22.2,57edf722-6629-4c72-8f47-225761fea3aa
2024-03-29T13:23:58.741,0.08,22.2,578666e2-9aa1-4f6b-ab3f-baf840763198
2024-03-29T14:07:16.624,0.08,22.2,15aa9b54-bac3-457d-b20b-d0509b1cb33f
2024-03-29T14:24:23.332,0.08,22.2,cb24d7f9-1458-473c-8934-0d1b9b68d1c6
2024-03-29T14:41:42.681,0.08,22.2,c48c1202-68df-43eb-8687-dfdce4e16def
2024-03-29T14:52:08.984,0.08,22.2,158fde07-bc3f-429c-9662-f42c30295947
2024-03-29T15:50:17.513,0.1,22.2,1558de9a-2d6e-4433-a896-6f6876837717
2024-03-29T16:30:20.817,0.08,22.2,e2689e50-98b7-4fe9-ae09-6d44d93d18b9
2024-03-29T17:08:55.847,0.1,22.2,2c73018c-0e8e-46b1-8858-3bcd9cb2c45f
2024-03-29T18:46:52.575,0.1,22.2,b716dbb2-667e-4f19-bc40-fd9f4370219a
2024-03-29T18:53:41.106,0.1,22.2,26ea88c6-9634-426c-945e-39be2a303f17
2024-03-29T19:52:50.688,0.1,22.2,da45a0f6-16ea-4a16-956e-7f1b0e95648f
2024-03-29T21:07:28.443,0.1,22.2,876f739b-cc77-4ef1-95ae-123e98700b49
2024-03-29T23:00:13.245,0.1,22.2,954af2b7-e52e-460b-be20-772f0e4775a8
2024-03-30T09:42:11.813,0.08,22.2,eaff80e4-92f8-42a8-81d0-d5e3e291bfbd
2024-03-30T09:56:42.827,0.08,22.2,483fb806-14ab-4a09-8802-303bf59fdd15
2024-03-30T10:17:58.404,0.08,22.2,af5963c9-800b-4d84-8ab8-e05b81cd6a5b
2024-03-30T10:40:07.904,0.08,22.2,f3698c4b-0b0b-452a-99dd-8d792c81483f
2024-03-30T11:53:37.292,0.1,22.2,31f23943-619b-4ff7-8036-9e4df2595d5a
2024-03-30T13:36:40.434,0.1,22.2,fecc8d66-7251-4ce4-a826-9c8b1d690bfe
2024-03-30T14:43:02.363,0.08,22.2,2f55dfc6-1a6e-4be6-b6c9-428fd849146c
2024-03-30T16:05:49.474,0.08,22.2,3c0f3ae6-d67f-4d52-b016-3c22a8581140
2024-03-30T14:30:00,0.1,22.2,8742aed5-a03b-4aed-8aac-c43eea97e253
2024-03-30T16:30:43.348,0.08,22.2,2f351210-dacb-4c76-b780-5949f5d605e6
2024-03-30T16:55:04.438,0.08,22.2,aebe6525-8b28-43d0-a351-5e290846dfda
2024-03-30T18:24:12.294,0.08,22.2,d5aef66a-fe5b-4ce6-ab44-67142d31df4a
2024-03-30T19:39:16.685,0.1,22.2,f6e353f9-f38d-4866-b189-a75609e6e951
2024-03-30T20:58:29.032,0.1,22.2,1bafdfb1-ff27-47ed-91ee-6b3d68fb5391
2024-03-30T21:52:41.274,0.1,22.2,c3508c63-0314-4727-9d46-382bdcb6a114
2024-03-30T22:37:09.113,0.1,22.2,24df8bc9-b112-4443-9e27-5f8652e6d3ee
2024-03-30T23:56:28.678,0.1,22.2,8bf1e1ea-9bdf-49a0-8f75-c72bf6ce3239
2024-03-31T08:43:23.739,0.08,22.2,bbbff0fa-c7b0-4569-a841-6dd4ce64de74
2024-03-31T09:24:05.885,0.08,22.2,11e9f6d0-d09f-4591-a130-7d2c9c96ca05
2024-03-31T10:23:55.364,0.08,22.2,751e2f08-88e7-49af-ad91-f76e3408f63a
2024-03-31T10:50:28.087,0.08,22.2,eb52b37e-ebe1-47b7-a7c8-fbda61f96017
2024-03-31T11:26:14.972,0.08,22.2,3e016389-b7a8-4a28-8b8c-2ebc7c881b6f
2024-03-31T12:33:00.482,0.1,22.2,a73ba3e1-2145-4cf2-bccf-348a1c16bfaa
2024-03-31T13:42:20.244,0.1,22.2,65588f78-3419-49f8-b573-5ff20b21f43f
2024-03-31T14:13:37.372,0.08,22.2,04bac9d2-7e46-48f2-b6f9-fb9dc85b6081
2024-03-31T15:19:57.01,0.08,22.2,5029c1f5-35ae-42c2-a708-ceb53f1f21f4
2024-03-31T15:50:51.175,0.1,22.2,31e2af5c-8466-4354-b7d3-d6918fc9f6e0
2024-03-31T16:33:09.923,0.08,22.2,850e4768-ab1b-40cf-8220-cb8ede74554b
2024-03-31T16:58:54.169,0.1,22.2,b18586f5-4732-4532-a4d7-c2ae7f3f9378
